Score_Variation,Score_Variation__Text_,Segment_1,Behavior,Potential_Strategies
111,'111',11- Lost,"Lowest scores in recency, frequency and monetary value.",Try to reactivate them with personalized campaigns. If it doesn’t work
112,'112',11- Lost,"Lowest scores in recency, frequency and monetary value.",Try to reactivate them with personalized campaigns. If it doesn’t work
113,'113',07- Cannot Lose Them,"Completed huge, frequent purchases long ago but haven’t come back since then.",Get them back with new product launches. Don’t let competitors take them. Talk to them.
114,'114',07- Cannot Lose Them,"Completed huge, frequent purchases long ago but haven’t come back since then.",Get them back with new product launches. Don’t let competitors take them. Talk to them.
115,'115',07- Cannot Lose Them,"Completed huge, frequent purchases long ago but haven’t come back since then.",Get them back with new product launches. Don’t let competitors take them. Talk to them.
121,'121',11- Lost,"Lowest scores in recency, frequency and monetary value.",Try to reactivate them with personalized campaigns. If it doesn’t work
122,'122',10- Hibernating,Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.
123,'123',10- Hibernating,Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.
124,'124',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
125,'125',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
131,'131',11- Lost,"Lowest scores in recency, frequency and monetary value.",Try to reactivate them with personalized campaigns. If it doesn’t work
132,'132',10- Hibernating,Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.
133,'133',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
134,'134',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
135,'135',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
141,'141',11- Lost,"Lowest scores in recency, frequency and monetary value.",Try to reactivate them with personalized campaigns. If it doesn’t work
142,'142',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
143,'143',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
144,'144',07- Cannot Lose Them,"Completed huge, frequent purchases long ago but haven’t come back since then.",Get them back with new product launches. Don’t let competitors take them. Talk to them.
145,'145',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
151,'151',11- Lost,"Lowest scores in recency, frequency and monetary value.",Try to reactivate them with personalized campaigns. If it doesn’t work
152,'152',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
153,'153',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
154,'154',07- Cannot Lose Them,"Completed huge, frequent purchases long ago but haven’t come back since then.",Get them back with new product launches. Don’t let competitors take them. Talk to them.
155,'155',07- Cannot Lose Them,"Completed huge, frequent purchases long ago but haven’t come back since then.",Get them back with new product launches. Don’t let competitors take them. Talk to them.
211,'211',10- Hibernating,Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.
212,'212',10- Hibernating,Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.
213,'213',08- About To Sleep,"Below average in recency, frequency and monetary value. At risk of losing them if you don’t reactivate.",Share useful information. Recommend popular products to them. Offer new discounts. Reconnect
214,'214',07- Cannot Lose Them,"Completed huge, frequent purchases long ago but haven’t come back since then.",Get them back with new product launches. Don’t let competitors take them. Talk to them.
215,'215',07- Cannot Lose Them,"Completed huge, frequent purchases long ago but haven’t come back since then.",Get them back with new product launches. Don’t let competitors take them. Talk to them.
221,'221',08- About To Sleep,"Below average in recency, frequency and monetary value. At risk of losing them if you don’t reactivate.",Share useful information. Recommend popular products to them. Offer new discounts. Reconnect
222,'222',10- Hibernating,Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.
223,'223',10- Hibernating,Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.
224,'224',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
225,'225',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
231,'231',10- Hibernating,Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.
232,'232',10- Hibernating,Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.
233,'233',10- Hibernating,Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.
234,'234',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
235,'235',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
241,'241',10- Hibernating,Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.
242,'242',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
243,'243',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
